config,dopants,group_key,quality,target_a,target_b,n_ingap,A_Z_mean,A_Z_prod,A_Z_range,A_Z_sum,A_chi_mean,A_chi_prod,A_chi_range,A_chi_sum,A_dnval_absum,A_dnval_sum,A_grp_mean,A_grp_prod,A_grp_range,A_grp_sum,A_nval_mean,A_nval_prod,A_nval_range,A_nval_sum,A_order,A_per_mean,A_per_prod,A_per_range,A_per_sum,A_rcov_mean,A_rcov_prod,A_rcov_range,A_rcov_sum,B_bandwidth,B_bond_mean,B_dopw_max,B_dopw_mean,B_host_gap,B_ingap_E_max,B_ingap_E_mean,B_ingap_E_mean_frac,B_ingap_E_min,B_ingap_from_cbm,B_ionic_steps,B_ipr_max,B_ipr_mean,B_magmom,B_max_disp,B_n_ingap_occ,B_n_ingap_unocc,B_nelect,B_pbe_energy
pair_defects/B-Li/C8-C1-were_replaced,BLi,BLi,spin-suspect,-1.6622905731201172,-0.3781728744506836,54,4.0,15.0,2.0,8.0,1.51,1.9992,1.06,3.02,4.0,-4.0,7.0,13.0,12.0,14.0,2.0,3.0,2.0,4.0,2.0,2.0,4.0,0.0,4.0,1.06,1.0752,0.44000000000000006,2.12,21.786609649658203,1.5885571240060832,0.15441177785396576,0.11328853473619178,2.127666473388672,2.0451650619506836,1.1245620868824147,0.5285424670396567,0.0913228988647461,0.08250141143798828,74.0,0.14307090640068054,0.08004787985097479,0.25,0.4486619659524533,30.0,24.0,252.0,-563.95818
pair_defects/B-Li/C8-C53-were_replaced,BLi,BLi,clean,-0.4097442626953125,0.9060916900634766,56,4.0,15.0,2.0,8.0,1.51,1.9992,1.06,3.02,4.0,-4.0,7.0,13.0,12.0,14.0,2.0,3.0,2.0,4.0,2.0,2.0,4.0,0.0,4.0,1.06,1.0752,0.44000000000000006,2.12,22.290544509887695,1.5745470766064897,0.6427525877952576,0.26600648037024904,4.738929748535156,3.2204742431640625,1.8508003098624093,0.39055238378127627,0.21618938446044922,1.5184555053710938,3.0,0.2715926468372345,0.16147320045690453,2.0,0.48353682899427475,24.0,32.0,252.0,-564.82476
pair_defects/B-P/C8-C1-were_replaced,BP,BP,clean,nan,1.1580791473388672,12,10.0,75.0,10.0,20.0,2.115,4.4676,0.1499999999999999,4.23,2.0,0.0,14.0,195.0,2.0,28.0,4.0,15.0,2.0,8.0,2.0,2.5,6.0,1.0,5.0,0.9550000000000001,0.8988,0.2300000000000001,1.9100000000000001,21.728293418884277,1.5867354794384014,0.15736038982868195,0.13896944870551428,3.7845687866210938,3.5371885299682617,3.447723388671875,0.9109950388165733,3.3582582473754883,0.24738025665283203,14.0,0.04720398038625717,0.03818524287392696,-0.0,0.152224245318467,0.0,12.0,256.0,-572.05189
pair_defects/B-P/C8-C53-were_replaced,BP,BP,clean,0.0033006668090820312,1.148651123046875,8,10.0,75.0,10.0,20.0,2.115,4.4676,0.1499999999999999,4.23,2.0,0.0,14.0,195.0,2.0,28.0,4.0,15.0,2.0,8.0,2.0,2.5,6.0,1.0,5.0,0.9550000000000001,0.8988,0.2300000000000001,1.9100000000000001,21.62616729736328,1.6036041621234185,0.10832232981920242,0.08333058282732964,3.9329261779785156,3.715242385864258,2.8041250705718994,0.7129869577194026,0.07077312469482422,0.2176837921142578,18.0,0.020541001111268997,0.019066499546170235,0.0,0.19326370012514804,2.0,6.0,256.0,-572.20879
pair_defects/B-S/C8-C1-were_replaced,BS,BS,spin-suspect,-0.9128446578979492,0.21281814575195312,68,10.5,80.0,11.0,21.0,2.31,5.2632,0.54,4.62,3.0,1.0,14.5,208.0,3.0,29.0,4.5,18.0,3.0,9.0,2.0,2.5,6.0,1.0,5.0,0.9450000000000001,0.882,0.21000000000000008,1.8900000000000001,24.908801078796387,1.5875310290315199,0.2805429697036743,0.19236077609307625,4.805483818054199,4.753217697143555,3.3068480631884407,0.6881405053877436,0.36568164825439453,0.05226612091064453,17.0,0.1544068604707718,0.08296791943447555,0.25,0.16234843869029744,26.0,42.0,257.0,-566.20535
pair_defects/B-S/C8-C53-were_replaced,BS,BS,spin-suspect,0.9476747512817383,1.095123291015625,28,10.5,80.0,11.0,21.0,2.31,5.2632,0.54,4.62,3.0,1.0,14.5,208.0,3.0,29.0,4.5,18.0,3.0,9.0,2.0,2.5,6.0,1.0,5.0,0.9450000000000001,0.882,0.21000000000000008,1.8900000000000001,25.017620086669922,1.599947510678311,0.2926829159259796,0.19918875502688543,4.193389892578125,4.035261154174805,3.693027768816267,0.8806783684370851,3.248891830444336,0.1581287384033203,15.0,0.14551058411598206,0.07732901256531477,-0.0,0.19348120910443292,8.0,20.0,257.0,-567.24284
pair_defects/B-Se/C8-C1-were_replaced,BSe,BSe,spin-suspect,0.05533790588378906,1.2030096054077148,52,19.5,170.0,29.0,39.0,2.295,5.202,0.5099999999999998,4.59,3.0,1.0,14.5,208.0,3.0,29.0,4.5,18.0,3.0,9.0,2.0,3.0,8.0,2.0,6.0,1.02,1.008,0.36,2.04,25.214001655578613,1.5884779864995622,0.4267857074737549,0.24166262264435107,4.867749214172363,4.744452476501465,3.0022063988905687,0.6167545341386321,0.3533935546875,0.12329673767089844,13.0,0.2584540843963623,0.10838556508175455,-0.25,0.2513903747559667,26.0,26.0,257.0,-562.01158
pair_defects/B-Se/C8-C53-were_replaced,BSe,BSe,spin-suspect,0.9939117431640625,1.1559457778930664,18,19.5,170.0,29.0,39.0,2.295,5.202,0.5099999999999998,4.59,3.0,1.0,14.5,208.0,3.0,29.0,4.5,18.0,3.0,9.0,2.0,3.0,8.0,2.0,6.0,1.02,1.008,0.36,2.04,25.190659523010254,1.6140960121626242,0.3179191052913666,0.21933493432071474,4.115368843078613,3.7643022537231445,3.575103865729438,0.8687201565765329,3.4117307662963867,0.35106658935546875,32.0,0.14504003524780273,0.07601487926310962,-0.0,0.27469136905233466,8.0,10.0,257.0,-563.00024
pair_defects/N-Li/C8-C1-were_replaced,LiN,LiN,clean,-0.14963817596435547,1.2450580596923828,84,5.0,21.0,4.0,10.0,2.01,2.9792,2.06,4.02,4.0,-2.0,8.0,15.0,14.0,16.0,3.0,5.0,4.0,6.0,2.0,2.0,4.0,0.0,4.0,0.995,0.9087999999999999,0.5700000000000001,1.99,23.666138648986816,1.571731002719982,0.2998065650463104,0.15517335154470943,4.8607940673828125,4.657014846801758,2.346238238470895,0.48268620434154197,0.48149681091308594,0.2037792205810547,23.0,0.1615714728832245,0.09040063091864188,2.0,0.20929462177973737,46.0,38.0,254.0,-563.72264
pair_defects/N-Li/C8-C53-were_replaced,LiN,LiN,clean,-0.2582893371582031,1.0571365356445312,48,5.0,21.0,4.0,10.0,2.01,2.9792,2.06,4.02,4.0,-2.0,8.0,15.0,14.0,16.0,3.0,5.0,4.0,6.0,2.0,2.0,4.0,0.0,4.0,0.995,0.9087999999999999,0.5700000000000001,1.99,22.427329063415527,1.5280168426849359,0.28257888555526733,0.14502164286871752,4.6438493728637695,2.3746862411499023,1.2569227814674377,0.27066398596221447,0.05193805694580078,2.269163131713867,21.0,0.1903511881828308,0.1245239192309479,1.9983,0.22376430058575245,32.0,16.0,254.0,-566.9577
