family,point,is_copy
1-scale-all-axes-uniformly,cell-volume-10.05-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-10.10-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-10.15-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-10.20-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-10.25-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-10.30-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-10.35-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-10.40-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-10.45-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-10.50-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-10.55-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-10.60-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-10.65-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-10.70-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-10.75-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-10.80-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-10.85-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-10.90-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-10.95-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-11.00-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-11.05-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-11.10-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-11.15-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-11.20-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-11.25-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-11.30-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-11.35-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-11.40-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-11.45-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-11.50-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-11.55-cubic-angstroms,False
1-scale-all-axes-uniformly,cell-volume-11.60-cubic-angstroms,False
