functional,observable,cv,model,mae,mae_top_quartile,max_error
PBE,indirect_gap,grouped,M0,0.6384375097259062,0.9476389929078014,2.5519800000000004
PBE,indirect_gap,grouped,M1,0.6321622756275839,0.9001489187869455,2.295860790552834
PBE,indirect_gap,grouped,M2,0.11582509848614943,0.1488931023791686,1.0752288061825488
PBE,indirect_gap,grouped,M3b,0.2850148919716371,0.36275516377585487,1.5735820814815522
PBE,indirect_gap,grouped,M3,0.2944745470335669,0.34411393173692745,1.8523812266905968
PBE,indirect_gap,grouped,M4,0.10724845243340857,0.17266349295625597,1.2831903875823945
PBE,indirect_gap,plain,M0,0.6382587038019452,0.9478138652482273,2.555105000000001
PBE,indirect_gap,plain,M1,0.631906363374588,0.8987400907509269,2.2641221032281966
PBE,indirect_gap,plain,M2,0.11594067195373875,0.14885374349737368,1.0755916454289758
PBE,indirect_gap,plain,M3b,0.284510754926917,0.3608664074996268,1.572875980469803
PBE,indirect_gap,plain,M3,0.29544732571039345,0.3451862849121706,1.7882222698591863
PBE,indirect_gap,plain,M4,0.10470026925412289,0.16549955460433952,1.1956603280981817
PBE,direct_gap_gamma,grouped,M0,0.594579382847038,0.6720638687943263,2.324399999999999
PBE,direct_gap_gamma,grouped,M1,0.5625828871503769,0.6079700614292063,2.36950947378039
PBE,direct_gap_gamma,grouped,M2,0.07672225009961366,0.09208816894227968,0.3983481818899661
PBE,direct_gap_gamma,grouped,M3b,0.2390117265690163,0.27877852459029484,1.3835615193774395
PBE,direct_gap_gamma,grouped,M3,0.25217527154477376,0.2852343595413944,1.7701857470149052
PBE,direct_gap_gamma,grouped,M4,0.12033121638351903,0.14598277029842865,1.0340339183511755
PBE,direct_gap_gamma,plain,M0,0.5946548788682582,0.6714102198581561,2.3329189999999995
PBE,direct_gap_gamma,plain,M1,0.5613637064396947,0.6033791334972759,2.3571364753492317
PBE,direct_gap_gamma,plain,M2,0.07555328249065063,0.09009044558665466,0.39989514010397276
PBE,direct_gap_gamma,plain,M3b,0.23717957808486334,0.2753576470368587,1.269663589658768
PBE,direct_gap_gamma,plain,M3,0.2562520537324818,0.2940116421224823,2.00787523085374
PBE,direct_gap_gamma,plain,M4,0.10394889533670236,0.13207924191358605,1.0294097163327134
PBE,valence_splitting_total,grouped,M0,0.5900472957559681,1.1215180957446809,2.66779
PBE,valence_splitting_total,grouped,M1,0.6457349795333885,0.9161479221603026,2.1403104112242417
PBE,valence_splitting_total,grouped,M2,0.10721623272734038,0.24358347897935986,0.6244178575324439
PBE,valence_splitting_total,grouped,M3b,0.1593745397680068,0.20171645138450156,1.300773121513418
PBE,valence_splitting_total,grouped,M3,0.16056314622058457,0.20061119143217446,1.2750467066391638
PBE,valence_splitting_total,grouped,M4,0.05763093034545514,0.10865560226307355,0.692652923512307
PBE,valence_splitting_total,plain,M0,0.5907796710875332,1.1234127127659572,2.6769169999999987
PBE,valence_splitting_total,plain,M1,0.6470653285498044,0.9176964261181991,2.1754401857048156
PBE,valence_splitting_total,plain,M2,0.10705568332776012,0.24315912713793836,0.6241877770634017
PBE,valence_splitting_total,plain,M3b,0.1577003056421503,0.19524028468242316,1.208730669774706
PBE,valence_splitting_total,plain,M3,0.16061475509495554,0.19704458907033875,1.2518882487120422
PBE,valence_splitting_total,plain,M4,0.056213667702666774,0.10721065111238277,0.7913127808727216
HSE,indirect_gap,grouped,M0,0.6672781644562333,1.015417478723404,2.7525380000000013
HSE,indirect_gap,grouped,M1,0.6637265812835517,0.9463515135460279,2.434888698685813
HSE,indirect_gap,grouped,M2,0.11655005829141771,0.14923439429718754,1.054287962044187
HSE,indirect_gap,grouped,M3b,0.2969665512806325,0.3784767326112887,1.6473299434529176
HSE,indirect_gap,grouped,M3,0.30806366882681063,0.3575471232078857,1.9429828614026032
HSE,indirect_gap,grouped,M4,0.11098664539413555,0.17743680788130572,1.463508289116115
HSE,indirect_gap,plain,M0,0.6676245070733863,1.0169944184397162,2.758852000000001
HSE,indirect_gap,plain,M1,0.663916025864236,0.9455396815688802,2.402688838216375
HSE,indirect_gap,plain,M2,0.11663798897129107,0.14907829443414305,1.0581543801807967
HSE,indirect_gap,plain,M3b,0.2964519611426036,0.37656103096253224,1.6471280003199653
HSE,indirect_gap,plain,M3,0.3091766907319441,0.35850122563530457,1.8756068351606374
HSE,indirect_gap,plain,M4,0.10785709453568391,0.17425599886303675,1.4373755445518412
HSE,direct_gap_gamma,grouped,M0,0.6277146870026526,0.7129434858156027,2.502803000000002
HSE,direct_gap_gamma,grouped,M1,0.5905124718381612,0.6368995740456134,2.545549198374724
HSE,direct_gap_gamma,grouped,M2,0.11615117995930722,0.15853576547959353,2.060071849888539
HSE,direct_gap_gamma,grouped,M3b,0.25318060079451843,0.2952635424469143,1.4769378750397442
HSE,direct_gap_gamma,grouped,M3,0.26613598906982266,0.3020976589791932,1.8920787480197978
HSE,direct_gap_gamma,grouped,M4,0.12692058647513302,0.15425205590427615,1.1209997389793376
HSE,direct_gap_gamma,plain,M0,0.6279277749778956,0.714848794326241,2.5340724999999997
HSE,direct_gap_gamma,plain,M1,0.5892373539154554,0.632067683866276,2.5322100992296637
HSE,direct_gap_gamma,plain,M2,0.10932147404060046,0.13729786331069427,2.0289392274505356
HSE,direct_gap_gamma,plain,M3b,0.2512102066770477,0.2915007632647493,1.356373898540605
HSE,direct_gap_gamma,plain,M3,0.2704315372877394,0.31157631426950394,2.1505840813311377
HSE,direct_gap_gamma,plain,M4,0.11188290510006155,0.14074252700287468,1.1225872074153909
HSE,valence_splitting_total,grouped,M0,0.6487883165340406,1.233303319148936,2.869052
HSE,valence_splitting_total,grouped,M1,0.7058475938080844,0.998652664429896,2.289859086779836
HSE,valence_splitting_total,grouped,M2,0.1164232145164297,0.2585368076168408,0.6529614509424086
HSE,valence_splitting_total,grouped,M3b,0.17250399912064512,0.21320206301489722,1.3670869555471306
HSE,valence_splitting_total,grouped,M3,0.1737854505898647,0.21251610147830485,1.3532672632410154
HSE,valence_splitting_total,grouped,M4,0.061206745704319276,0.11488232345006609,0.7095631861417563
HSE,valence_splitting_total,plain,M0,0.6490780039787799,1.233154397163121,2.874496500000001
HSE,valence_splitting_total,plain,M1,0.7072314847269617,1.000338305465043,2.3280724994120545
HSE,valence_splitting_total,plain,M2,0.11624363989002834,0.2580658116935692,0.6573195716933657
HSE,valence_splitting_total,plain,M3b,0.17075019099708466,0.20654995655632058,1.272752908631328
HSE,valence_splitting_total,plain,M3,0.17387243483235004,0.20863565546408538,1.3288734436716614
HSE,valence_splitting_total,plain,M4,0.06214817010273987,0.1183965633030975,0.8372955029263665
