config_key,dopants,defect_order,nmae_pct,max_abs_diff_over_mean,p999_abs_diff_over_mean,peak_distance_from_dopant,grid_pbe,grid_hse,interpolated,volume_pbe,volume_hse,nelect_pbe,nelect_hse,nelect_expected,nelect_rel_error,nelect_check,quality,max_displacement,hse_nsw,status,pbe_path,hse_path
Pure/Converged_for_doping_analyze,pure,pure,0.77487990902116,0.050197408051088854,0.04917497602093251,,80x80x80,80x80x80,False,366.65198,366.65198,256.0,256.0,256.0,1.5425368971033748e-07,pass,clean,0.0,0,ok,Pure/Converged_for_doping_analyze/GGA-PBE,Pure/Converged_for_doping_analyze/HSE06
pair_defects/B-Li/C8-C1-were_replaced,BLi,pair,0.8391185233687027,0.12024943277683192,0.060804063138319576,4.698166881652976,80x80x80,80x80x80,False,366.65198,366.65198,252.0,252.0,252.0,9.091393762684588e-08,pass,spin-suspect,3.446323015232585e-14,0,ok,pair_defects/B-Li/C8-C1-were_replaced/GGA-PBE,pair_defects/B-Li/C8-C1-were_replaced/HSE06
pair_defects/B-Li/C8-C53-were_replaced,BLi,pair,0.7770515863542984,0.062257447593099195,0.05101638630317771,2.8863826531741923,80x80x80,80x80x80,False,366.65198,366.65198,252.0,252.0,252.0,1.2388829794139787e-07,pass,clean,3.61384616026172e-14,0,ok,pair_defects/B-Li/C8-C53-were_replaced/GGA-PBE,pair_defects/B-Li/C8-C53-were_replaced/HSE06
pair_defects/B-P/C8-C1-were_replaced,BP,pair,0.7685459102317297,0.05213928869137156,0.04993554476154552,4.09206193211806,80x80x80,80x80x80,False,366.65198,366.65198,256.0,256.0,256.0,1.0158937657767098e-07,pass,clean,3.6492726100419613e-14,0,ok,pair_defects/B-P/C8-C1-were_replaced/GGA-PBE,pair_defects/B-P/C8-C1-were_replaced/HSE06
pair_defects/B-P/C8-C53-were_replaced,BP,pair,0.7680672029781239,0.052160242292915535,0.04992757363224979,4.370372981818005,80x80x80,80x80x80,False,366.65198,366.65198,256.0,256.0,256.0,1.0478454948170679e-07,pass,clean,3.659208205361674e-14,0,ok,pair_defects/B-P/C8-C53-were_replaced/GGA-PBE,pair_defects/B-P/C8-C53-were_replaced/HSE06
pair_defects/B-S/C8-C1-were_replaced,BS,pair,0.7712934198334209,0.061447231496452856,0.050242949226996216,4.752588370797141,80x80x80,80x80x80,False,366.65198,366.65198,257.0,257.0,257.0,1.0134236212684035e-07,pass,spin-suspect,3.4529582656870874e-14,0,ok,pair_defects/B-S/C8-C1-were_replaced/GGA-PBE,pair_defects/B-S/C8-C1-were_replaced/HSE06
pair_defects/B-S/C8-C53-were_replaced,BS,pair,0.7716939354653969,0.062393676673186474,0.05007724130949465,2.563491551452611,80x80x80,80x80x80,False,366.65198,366.65198,257.0,257.0,257.0,1.0683656122856742e-07,pass,spin-suspect,3.6242600170314777e-14,0,ok,pair_defects/B-S/C8-C53-were_replaced/GGA-PBE,pair_defects/B-S/C8-C53-were_replaced/HSE06
pair_defects/B-Se/C8-C1-were_replaced,BSe,pair,0.7734802511776586,0.07446442067091757,0.05170339511143334,6.19820252519807,80x80x80,80x80x80,False,366.65198,366.65198,257.0,257.0,257.0,5.9062675290103686e-08,pass,spin-suspect,3.8522868060945574e-14,0,ok,pair_defects/B-Se/C8-C1-were_replaced/GGA-PBE,pair_defects/B-Se/C8-C1-were_replaced/HSE06
pair_defects/B-Se/C8-C53-were_replaced,BSe,pair,0.7774611474119123,0.07926958396938225,0.05185904383304522,1.8242734466246915,80x80x80,80x80x80,False,366.65198,366.65198,257.0,257.0,257.0,7.479517767784797e-08,pass,spin-suspect,3.5689580616481043e-14,0,ok,pair_defects/B-Se/C8-C53-were_replaced/GGA-PBE,pair_defects/B-Se/C8-C53-were_replaced/HSE06
pair_defects/N-H/C8-C1-were_replaced,HN,pair,0.7753656984600488,0.07327762078850224,0.05231729660223867,0.008103522549486295,80x80x80,80x80x80,False,366.65198,366.65198,254.0,254.0,254.0,1.2446697491747375e-07,pass,clean,3.815345255644649e-14,0,ok,pair_defects/N-H/C8-C1-were_replaced/GGA-PBE,pair_defects/N-H/C8-C1-were_replaced/HSE06
pair_defects/N-H/C8-C53-were_replaced,HN,pair,0.7752436928472881,0.06592590691335491,0.0511944431527975,0.09552037065661116,80x80x80,80x80x80,False,366.65198,366.65198,254.0,254.0,254.0,1.2471388426608364e-07,pass,clean,4.031102156748986e-14,0,ok,pair_defects/N-H/C8-C53-were_replaced/GGA-PBE,pair_defects/N-H/C8-C53-were_replaced/HSE06
pair_defects/N-Li/C8-C1-were_replaced,LiN,pair,0.7756810668284146,0.07363941964234717,0.05312293768642363,2.147200499982282e-05,80x80x80,80x80x80,False,366.65198,366.65198,254.0,254.0,254.0,1.1896863376152152e-07,pass,clean,4.119082274283349e-14,0,ok,pair_defects/N-Li/C8-C1-were_replaced/GGA-PBE,pair_defects/N-Li/C8-C1-were_replaced/HSE06
pair_defects/N-Li/C8-C53-were_replaced,LiN,pair,0.7724187337124957,0.06252549792304066,0.05125800056713127,2.721998653216734,80x80x80,80x80x80,False,366.65198,366.65198,254.0,254.0,254.0,1.1148148583800314e-07,pass,clean,3.6405567209002123e-14,0,ok,pair_defects/N-Li/C8-C53-were_replaced/GGA-PBE,pair_defects/N-Li/C8-C53-were_replaced/HSE06
pair_defects/N-S/C8-C1-were_replaced,NS,pair,0.7883456775160075,0.07867444958104489,0.05653300941297934,0.0,80x80x80,80x80x80,False,366.65198,366.65198,259.0,259.0,259.0,1.0195019991498863e-07,pass,spin-suspect,4.011945647468412e-14,0,ok,pair_defects/N-S/C8-C1-were_replaced/GGA-PBE,pair_defects/N-S/C8-C1-were_replaced/HSE06
pair_defects/N-S/C8-C53-were_replaced,NS,pair,0.7703577071737762,0.06570006784388244,0.05038703605265679,0.2921971232583362,80x80x80,80x80x80,False,366.65198,366.65198,259.0,259.0,259.0,8.18073369766746e-08,pass,spin-suspect,3.6734166860268184e-14,0,ok,pair_defects/N-S/C8-C53-were_replaced/GGA-PBE,pair_defects/N-S/C8-C53-were_replaced/HSE06
pair_defects/N-Si/C8-C1-were_replaced,NSi,pair,0.7767377545723773,0.0740248959917948,0.05313404229363684,0.0,80x80x80,80x80x80,False,366.65198,366.65198,257.0,257.0,257.0,8.922381213800096e-08,pass,spin-suspect,3.849007216860207e-14,0,ok,pair_defects/N-Si/C8-C1-were_replaced/GGA-PBE,pair_defects/N-Si/C8-C1-were_replaced/HSE06
pair_defects/N-Si/C8-C53-were_replaced,NSi,pair,0.7745480397052076,0.07109456837513878,0.05110770704795203,1.3025899679114308,80x80x80,80x80x80,False,366.65198,366.65198,257.0,257.0,257.0,1.0245624961665161e-07,pass,spin-suspect,4.040878969478884e-14,0,ok,pair_defects/N-Si/C8-C53-were_replaced/GGA-PBE,pair_defects/N-Si/C8-C53-were_replaced/HSE06
single_defect/IA-element-single-impurity/H,H,single,0.7714075037952268,0.05528048474899695,0.050730295813164204,1.3946476350139871,80x80x80,80x80x80,False,366.65198,366.65198,253.0,253.0,253.0,1.4322253335701418e-07,pass,clean,3.764412436324088e-14,0,ok,single_defect/IA-element-single-impurity/H/gga-pbe,single_defect/IA-element-single-impurity/H/hse06
single_defect/IA-element-single-impurity/Li,Li,single,0.7684049576166074,0.06384966528571194,0.051187084769282354,1.4997349687176618,80x80x80,80x80x80,False,366.65198,366.65198,253.0,253.0,253.0,1.1924248341126542e-07,pass,clean,3.537861244782046e-14,0,ok,single_defect/IA-element-single-impurity/Li/gga-pbe,single_defect/IA-element-single-impurity/Li/hse06
single_defect/IA-element-single-impurity/Na,Na,single,0.7629619268570121,0.054782369894187395,0.05069452083526719,1.6545291036727483,80x80x80,80x80x80,False,366.65198,366.65198,253.0,253.0,253.0,9.552624759196794e-08,pass,clean,4.044637223721882e-14,0,ok,single_defect/IA-element-single-impurity/Na/gga-pbe,single_defect/IA-element-single-impurity/Na/hse06
single_defect/IIA-element-single-impurity/Be,Be,single,0.7678848405520492,0.056875530848566384,0.05061688682186698,1.96420439778208,80x80x80,80x80x80,False,366.65198,366.65198,254.0,254.0,254.0,1.4188379431625507e-07,pass,clean,3.965177368442822e-14,0,ok,single_defect/IIA-element-single-impurity/Be/gga-pbe,single_defect/IIA-element-single-impurity/Be/hse06
single_defect/IIA-element-single-impurity/Mg,Mg,single,0.7625765316665111,0.05851557662230197,0.05059678740211548,2.1693485775401298,80x80x80,80x80x80,False,366.65198,366.65198,254.0,254.0,254.0,1.0812847953844524e-07,pass,clean,3.963584617833586e-14,0,ok,single_defect/IIA-element-single-impurity/Mg/gga-pbe,single_defect/IIA-element-single-impurity/Mg/hse06
single_defect/IIIA-element-single-imputiry/B,B,single,0.7703967407722596,0.05203084088673926,0.05032535480262367,4.190643036822867,80x80x80,80x80x80,False,366.65198,366.65198,255.0,255.0,255.0,1.3922333314618372e-07,pass,spin-suspect,3.974458292071076e-14,0,ok,single_defect/IIIA-element-single-imputiry/B/GGA-PBE,single_defect/IIIA-element-single-imputiry/B/hse06
single_defect/IVA-element-single-impurity/Si,H,single,0.7685965817085784,0.05199093012107346,0.04991754998743627,2.789295270027973,80x80x80,80x80x80,False,366.65198,366.65198,256.0,256.0,256.0,1.0693562446650873e-07,pass,clean,3.996096775877568e-14,0,ok,single_defect/IVA-element-single-impurity/Si/GGA-PBE,single_defect/IVA-element-single-impurity/Si/HSE06
single_defect/VA-element-single-impurity/As,As,single,0.7775968667520367,0.06722782363119725,0.05036687402788724,0.0,80x80x80,80x80x80,False,366.65198,366.65198,257.0,257.0,257.0,6.777745661902054e-08,pass,clean,0.0,0,ok,single_defect/VA-element-single-impurity/As/GGA-PBE,single_defect/VA-element-single-impurity/As/HSE06
single_defect/VA-element-single-impurity/N,N,single,0.7844751416680206,0.0735963202296719,0.05296931227202643,0.0,80x80x80,80x80x80,False,366.65198,366.65198,257.0,257.0,257.0,1.3972110984666778e-07,pass,spin-suspect,3.4974733775166755e-14,0,ok,single_defect/VA-element-single-impurity/N/GGA-PBE,single_defect/VA-element-single-impurity/N/HSE06
single_defect/VA-element-single-impurity/P,P,single,0.7734548455418192,0.05205212586511448,0.0499054089043181,2.7849933593347744,80x80x80,80x80x80,False,366.65198,366.65198,257.0,257.0,257.0,1.1755105466285747e-07,pass,spin-suspect,3.884930430019662e-14,0,ok,single_defect/VA-element-single-impurity/P/GGA-PBE,single_defect/VA-element-single-impurity/P/HSE06
single_defect/VA-element-single-impurity/Sb,Sb,single,0.7875981500699064,0.05478176808550666,0.050032191148883166,1.654529103672748,80x80x80,80x80x80,False,366.65198,366.65198,257.0,257.0,257.0,6.78044899777109e-08,pass,spin-suspect,3.789281004419288e-14,0,ok,single_defect/VA-element-single-impurity/Sb/GGA-PBE,single_defect/VA-element-single-impurity/Sb/HSE06
single_defect/VIA-element-single-impurity/O,O,single,0.7812150234342518,0.08743471898307263,0.059312103855692765,1.4481448481151107,80x80x80,80x80x80,False,366.65198,366.65198,258.0,258.0,258.0,1.323523424052696e-07,pass,clean,3.629265452532354e-14,0,ok,single_defect/VIA-element-single-impurity/O/GGA-PBE,single_defect/VIA-element-single-impurity/O/HSE06
single_defect/VIA-element-single-impurity/S,S,single,0.7781414392652837,0.06148510397933124,0.05029276856167508,1.4481448481151107,80x80x80,80x80x80,False,366.65198,366.65198,258.0,258.0,258.0,1.1903727607754856e-07,pass,spin-suspect,3.7807835037676814e-14,0,ok,single_defect/VIA-element-single-impurity/S/GGA-PBE,single_defect/VIA-element-single-impurity/S/HSE06
single_defect/VIA-element-single-impurity/Se,Se,single,0.7814027776009785,0.07478363735283293,0.053042323721435095,0.0,80x80x80,80x80x80,False,366.65198,366.65198,258.0,258.0,258.0,8.47229890309403e-08,pass,spin-suspect,4.07453003841498e-14,0,ok,single_defect/VIA-element-single-impurity/Se/GGA-PBE,single_defect/VIA-element-single-impurity/Se/HSE06
single_defect/VIA-element-single-impurity/Te,Te,single,0.7776308932454149,0.1188583745877747,0.050251305899794,0.013595477937288379,80x80x80,80x80x80,False,366.65198,366.65198,258.0,258.0,258.0,5.582666349184802e-08,pass,clean,3.6682025415505266e-14,0,ok,single_defect/VIA-element-single-impurity/Te/GGA-PBE,single_defect/VIA-element-single-impurity/Te/HSE06
single_defect/VIIA-element-single-impurity/Br,Br,single,0.7715992998339589,0.05878548621909755,0.04960468361494153,0.7828771860275087,80x80x80,80x80x80,False,366.65198,366.65198,259.0,259.0,259.0,6.875452053249755e-08,pass,clean,3.844082586780566e-14,0,ok,single_defect/VIIA-element-single-impurity/Br/GGA-PBE,single_defect/VIIA-element-single-impurity/Br/HSE06
single_defect/VIIA-element-single-impurity/Cl,Cl,single,0.7855269747327782,0.09266799383313527,0.05108347517041954,0.4826788895040537,80x80x80,80x80x80,False,366.65198,366.65198,259.0,259.0,259.0,8.137524864159295e-08,pass,spin-suspect,3.533173116132286e-14,0,ok,single_defect/VIIA-element-single-impurity/Cl/GGA-PBE,single_defect/VIIA-element-single-impurity/Cl/HSE06
single_defect/VIIA-element-single-impurity/F,F,single,0.7778793701273882,0.1259617227000501,0.05399002523578579,0.2256933163482205,80x80x80,80x80x80,False,366.65198,366.65198,259.0,259.0,259.0,8.97777796094716e-08,pass,clean,3.765932235923158e-14,0,ok,single_defect/VIIA-element-single-impurity/F/GGA-PBE,single_defect/VIIA-element-single-impurity/F/HSE06
single_defect/VIIA-element-single-impurity/I,I,single,0.7657434451239674,0.05223614103352849,0.04960303460538222,4.188722916774522,80x80x80,80x80x80,False,366.65198,366.65198,259.0,259.0,259.0,6.362312047944967e-08,pass,clean,3.784747902570478e-14,0,ok,single_defect/VIIA-element-single-impurity/I/GGA-PBE,single_defect/VIIA-element-single-impurity/I/HSE06
single_defects_new-only/IA-impurity/K,K,single,0.8767473069932363,0.07658229652934838,0.06073674773810756,3.1833012824151896,80x80x80,80x80x80,False,366.65198,366.65198,259.0,259.0,259.0,6.288273253458838e-08,pass,spin-suspect,0.007830245702927468,40,ok,single_defects_new-only-GGA-PBE/IA-impurity/K/GGA-PBE,single_defects_new-only-HSE06/IA-impurity/K/hse06
single_defects_new-only/IIA-impurity/Ba,Ba,single,0.7585737981026742,0.051960634949111156,0.049371166630301715,2.929265594073485,80x80x80,80x80x80,False,366.65198,366.65198,262.0,262.0,262.0,3.53278357339733e-08,pass,clean,0.0025610215277081625,40,ok,single_defects_new-only-GGA-PBE/IIA-impurity/Ba/GGA-PBE,single_defects_new-only-HSE06/IIA-impurity/Ba/hse06
single_defects_new-only/III-A/Al,Al,single,0.7696300474934906,0.052584171186675084,0.05043674760332463,4.188879462659736,80x80x80,80x80x80,False,366.65198,366.65198,255.0,255.0,255.0,8.16422083088957e-08,pass,spin-suspect,0.001153683199832913,40,ok,single_defects_new-only-GGA-PBE/III-A/Al/GGA-PBE,single_defects_new-only-HSE06/III-A/Al/hse06
single_defects_new-only/III-A/Ga,Ga,single,0.7524893301610568,0.09985570175632193,0.049195502825679895,0.0,80x80x80,80x80x80,False,366.65198,366.65198,265.0,265.0,265.0,6.869765439780235e-08,pass,spin-suspect,0.001373873028564593,40,ok,single_defects_new-only-GGA-PBE/III-A/Ga/GGA-PBE,single_defects_new-only-HSE06/III-A/Ga/hse06
single_defects_new-only/III-A/In,In,single,0.7523336257906968,0.05456652365292113,0.04871246028206377,7.157334999808502e-06,80x80x80,80x80x80,False,366.65198,366.65198,265.0,265.0,265.0,4.61976892095337e-08,pass,spin-suspect,0.0033068188896482496,40,ok,single_defects_new-only-GGA-PBE/III-A/In/GGA-PBE,single_defects_new-only-HSE06/III-A/In/hse06
single_defects_new-only/III-A/Tl,Tl,single,0.756977384414969,0.05605470955961877,0.04906360411035055,2.3244044604741183,80x80x80,80x80x80,False,366.65198,366.65198,265.0,265.0,265.0,4.4834700286130854e-08,pass,spin-suspect,0.00486693502386713,40,ok,single_defects_new-only-GGA-PBE/III-A/Tl/GGA-PBE,single_defects_new-only-HSE06/III-A/Tl/hse06
single_defects_new-only/IV-A/Ge,Ge,single,0.7541925203070861,0.07588654477624744,0.04829291180275113,0.0,80x80x80,80x80x80,False,366.65198,366.65198,266.0,266.0,266.0,5.552372003773797e-08,pass,clean,0.002872548343522806,40,ok,single_defects_new-only-GGA-PBE/IV-A/Ge/GGA-PBE,single_defects_new-only-HSE06/IV-A/Ge/hse06
single_defects_new-only/IV-A/Pb,Pb,single,0.7707003184970908,0.059863243399887266,0.04928836126442378,2.324412725023311,80x80x80,80x80x80,False,366.65198,366.65198,266.0,266.0,266.0,4.674627129496454e-08,pass,clean,0.00712162768045227,40,ok,single_defects_new-only-GGA-PBE/IV-A/Pb/GGA-PBE,single_defects_new-only-HSE06/IV-A/Pb/hse06
