family,point,subrun,run,volume,e1,e2,e3,e4,e5,e6,strain_norm,max_abs_voigt,lhfcalc,aexx,ispin,encut,functional,nk,nb,energy,ionic_steps
1-scale-all-axes-uniformly,cell-volume-10.05-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-10.05-cubic-angstroms/1-cheap-pbe-atoms-relaxed,10.05,-0.038844045112477465,-0.03884404509255551,-0.03884404509255557,-8.768381287514486e-13,-9.049689413378308e-12,9.049689413378308e-12,0.06727985968330465,0.038844045112477465,,,,550,PBE,172,8,-17.915772,1
1-scale-all-axes-uniformly,cell-volume-10.05-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-10.05-cubic-angstroms/2-accurate-hse06-atoms-fixed,10.049999999999988,-0.038844045112477854,-0.038844045092555846,-0.038844045092555846,-8.767584279318591e-13,-9.049665223709949e-12,9.049665223709949e-12,0.06727985968330522,0.038844045112477854,.TRUE.,0.27,,550,HSE,172,8,-21.138149,1
1-scale-all-axes-uniformly,cell-volume-10.10-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-10.10-cubic-angstroms/1-cheap-pbe-atoms-relaxed,10.1,-0.03731577176835649,-0.037315771748368476,-0.037315771748368476,-8.797159204268232e-13,-9.07982318030823e-12,9.07987869145946e-12,0.0646328126033576,0.03731577176835649,,,,550,PBE,172,8,-17.93689,1
1-scale-all-axes-uniformly,cell-volume-10.10-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-10.10-cubic-angstroms/2-accurate-hse06-atoms-fixed,10.099999999999987,-0.037315771768356876,-0.037315771748368864,-0.03731577174836881,-8.79746834236314e-13,-9.07985409411772e-12,9.07979858296649e-12,0.06463281260335824,0.037315771768356876,.TRUE.,0.27,,550,HSE,172,8,-21.156042,1
1-scale-all-axes-uniformly,cell-volume-10.15-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-10.15-cubic-angstroms/1-cheap-pbe-atoms-relaxed,10.150000000000004,-0.03579001825980738,-0.035790018239753474,-0.03579001823975342,-8.826261196583128e-13,-9.10971179903811e-12,9.10971179903811e-12,0.06199013000664795,0.03579001825980738,,,,550,PBE,172,8,-17.957084,1
1-scale-all-axes-uniformly,cell-volume-10.15-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-10.15-cubic-angstroms/2-accurate-hse06-atoms-fixed,10.150000000000004,-0.03579001825980738,-0.035790018239753474,-0.03579001823975342,-8.826261196583128e-13,-9.10971179903811e-12,9.10971179903811e-12,0.06199013000664795,0.03579001825980738,.TRUE.,0.27,,550,HSE,172,8,-21.173013,1
1-scale-all-axes-uniformly,cell-volume-10.20-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-10.20-cubic-angstroms/1-cheap-pbe-atoms-relaxed,10.200000000000003,-0.03426676804963319,-0.034266768029513395,-0.034266768029513395,-8.853662450506217e-13,-9.139541366231273e-12,9.139485855080042e-12,0.05935178324991023,0.03426676804963319,,,,550,PBE,172,8,-17.976356,1
1-scale-all-axes-uniformly,cell-volume-10.20-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-10.20-cubic-angstroms/2-accurate-hse06-atoms-fixed,10.200000000000003,-0.03426676804963319,-0.034266768029513395,-0.034266768029513395,-8.853662450506217e-13,-9.139541366231273e-12,9.139485855080042e-12,0.05935178324991023,0.03426676804963319,.TRUE.,0.27,,550,HSE,172,8,-21.18908,1
1-scale-all-axes-uniformly,cell-volume-10.25-cubic-angstroms,1-cheap-pbe-atoms-relaxed,1-scale-all-axes-uniformly/cell-volume-10.25-cubic-angstroms/1-cheap-pbe-atoms-relaxed,10.25,-0.03274600478963524,-0.03274600476944989,-0.03274600476944989,-8.885736468229626e-13,-9.169449631745849e-12,9.16950514289708e-12,0.056717744017234006,0.03274600478963524,,,,550,PBE,172,8,-17.994483,1
1-scale-all-axes-uniformly,cell-volume-10.25-cubic-angstroms,2-accurate-hse06-atoms-fixed,1-scale-all-axes-uniformly/cell-volume-10.25-cubic-angstroms/2-accurate-hse06-atoms-fixed,10.25,-0.03274600478963524,-0.03274600476944989,-0.03274600476944989,-8.885736468229626e-13,-9.169449631745849e-12,9.16950514289708e-12,0.056717744017234006,0.03274600478963524,.TRUE.,0.27,,550,HSE,172,8,-21.203969,1
