config_key,pbe_path,hse_path,dopants,natoms,pbe_nsw,hse_nsw,pbe_steps,hse_steps,pbe_encut,hse_encut,pbe_prec,hse_prec,pbe_ispin,hse_ispin,pbe_volume,hse_volume,volume_diff,pbe_nelect,hse_nelect,pbe_magmom,hse_magmom,max_displacement,geometry,quality,quality_notes,note
Pure/Converged_for_doping_analyze,Pure/Converged_for_doping_analyze/GGA-PBE,Pure/Converged_for_doping_analyze/HSE06,pure,64,40,0,1,1,460.0,460.0,,,2,2,366.652,366.652,0.0,256.0,256.0,0.0,0.0,0.0,same-geometry,clean,,
pair_defects/B-Li/C8-C1-were_replaced,pair_defects/B-Li/C8-C1-were_replaced/GGA-PBE,pair_defects/B-Li/C8-C1-were_replaced/HSE06,BLi,64,100,0,74,1,500.0,500.0,,,2,2,366.652,366.652,0.0,252.0,252.0,0.25,-0.0009,3.446323015232585e-14,same-geometry,spin-suspect,mag-quarter,
pair_defects/B-Li/C8-C53-were_replaced,pair_defects/B-Li/C8-C53-were_replaced/GGA-PBE,pair_defects/B-Li/C8-C53-were_replaced/HSE06,BLi,64,40,0,3,1,500.0,500.0,,,2,2,366.652,366.652,0.0,252.0,252.0,2.0,2.0,3.61384616026172e-14,same-geometry,clean,,
pair_defects/B-P/C8-C1-were_replaced,pair_defects/B-P/C8-C1-were_replaced/GGA-PBE,pair_defects/B-P/C8-C1-were_replaced/HSE06,BP,64,40,0,14,1,500.0,500.0,,,2,2,366.652,366.652,0.0,256.0,256.0,-0.0,-0.0,3.6492726100419613e-14,same-geometry,clean,,
pair_defects/B-P/C8-C53-were_replaced,pair_defects/B-P/C8-C53-were_replaced/GGA-PBE,pair_defects/B-P/C8-C53-were_replaced/HSE06,BP,64,40,0,18,1,500.0,500.0,,,2,2,366.652,366.652,0.0,256.0,256.0,0.0,0.0,3.659208205361674e-14,same-geometry,clean,,
pair_defects/B-S/C8-C1-were_replaced,pair_defects/B-S/C8-C1-were_replaced/GGA-PBE,pair_defects/B-S/C8-C1-were_replaced/HSE06,BS,64,40,0,17,1,500.0,500.0,,,2,2,366.652,366.652,0.0,257.0,257.0,0.25,0.25,3.4529582656870874e-14,same-geometry,spin-suspect,mag-quarter|mag-quarter,
pair_defects/B-S/C8-C53-were_replaced,pair_defects/B-S/C8-C53-were_replaced/GGA-PBE,pair_defects/B-S/C8-C53-were_replaced/HSE06,BS,64,40,0,15,1,500.0,500.0,,,2,2,366.652,366.652,0.0,257.0,257.0,-0.0,0.0,3.6242600170314777e-14,same-geometry,spin-suspect,odd-nelect-no-mag|odd-nelect-no-mag,
pair_defects/B-Se/C8-C1-were_replaced,pair_defects/B-Se/C8-C1-were_replaced/GGA-PBE,pair_defects/B-Se/C8-C1-were_replaced/HSE06,BSe,64,40,0,13,1,500.0,500.0,,,2,2,366.652,366.652,0.0,257.0,257.0,-0.25,-0.25,3.8522868060945574e-14,same-geometry,spin-suspect,mag-quarter|mag-quarter,
pair_defects/B-Se/C8-C53-were_replaced,pair_defects/B-Se/C8-C53-were_replaced/GGA-PBE,pair_defects/B-Se/C8-C53-were_replaced/HSE06,BSe,64,40,0,32,1,500.0,500.0,,,2,2,366.652,366.652,0.0,257.0,257.0,-0.0,0.0,3.5689580616481043e-14,same-geometry,spin-suspect,odd-nelect-no-mag|odd-nelect-no-mag,
pair_defects/N-H/C8-C1-were_replaced,pair_defects/N-H/C8-C1-were_replaced/GGA-PBE,pair_defects/N-H/C8-C1-were_replaced/HSE06,HN,64,100,0,15,1,500.0,500.0,,,2,2,366.652,366.652,0.0,254.0,254.0,2.0,2.0,3.815345255644649e-14,same-geometry,clean,,
pair_defects/N-H/C8-C53-were_replaced,pair_defects/N-H/C8-C53-were_replaced/GGA-PBE,pair_defects/N-H/C8-C53-were_replaced/HSE06,HN,64,40,0,27,1,500.0,500.0,,,2,2,366.652,366.652,0.0,254.0,254.0,2.0,2.0,4.031102156748986e-14,same-geometry,clean,,
pair_defects/N-Li/C8-C1-were_replaced,pair_defects/N-Li/C8-C1-were_replaced/GGA-PBE,pair_defects/N-Li/C8-C1-were_replaced/HSE06,LiN,64,40,0,23,1,500.0,500.0,,,2,2,366.652,366.652,0.0,254.0,254.0,2.0,2.0,4.119082274283349e-14,same-geometry,clean,,
pair_defects/N-Li/C8-C53-were_replaced,pair_defects/N-Li/C8-C53-were_replaced/GGA-PBE,pair_defects/N-Li/C8-C53-were_replaced/HSE06,LiN,64,40,0,21,1,500.0,500.0,,,2,2,366.652,366.652,0.0,254.0,254.0,1.9983,2.0,3.6405567209002123e-14,same-geometry,clean,,
pair_defects/N-S/C8-C1-were_replaced,pair_defects/N-S/C8-C1-were_replaced/GGA-PBE,pair_defects/N-S/C8-C1-were_replaced/HSE06,NS,64,40,0,9,1,500.0,500.0,,,2,2,366.652,366.652,0.0,259.0,259.0,0.25,0.25,4.011945647468412e-14,same-geometry,spin-suspect,mag-quarter|mag-quarter,
pair_defects/N-S/C8-C53-were_replaced,pair_defects/N-S/C8-C53-were_replaced/GGA-PBE,pair_defects/N-S/C8-C53-were_replaced/HSE06,NS,64,40,0,4,1,500.0,500.0,,,2,2,366.652,366.652,0.0,259.0,259.0,0.0001,0.0,3.6734166860268184e-14,same-geometry,spin-suspect,odd-nelect-no-mag,
pair_defects/N-Si/C8-C1-were_replaced,pair_defects/N-Si/C8-C1-were_replaced/GGA-PBE,pair_defects/N-Si/C8-C1-were_replaced/HSE06,NSi,64,40,0,14,1,500.0,500.0,,,2,2,366.652,366.652,0.0,257.0,257.0,-0.0,-0.0,3.849007216860207e-14,same-geometry,spin-suspect,odd-nelect-no-mag|odd-nelect-no-mag,
pair_defects/N-Si/C8-C53-were_replaced,pair_defects/N-Si/C8-C53-were_replaced/GGA-PBE,pair_defects/N-Si/C8-C53-were_replaced/HSE06,NSi,64,40,0,18,1,500.0,500.0,,,2,2,366.652,366.652,0.0,257.0,257.0,0.0,0.0,4.040878969478884e-14,same-geometry,spin-suspect,odd-nelect-no-mag|odd-nelect-no-mag,
single_defect/IA-element-single-impurity/H,single_defect/IA-element-single-impurity/H/gga-pbe,single_defect/IA-element-single-impurity/H/hse06,H,64,40,0,13,1,500.0,500.0,,,2,2,366.652,366.652,0.0,253.0,253.0,2.9999,3.0,3.764412436324088e-14,same-geometry,clean,,
single_defect/IA-element-single-impurity/Li,single_defect/IA-element-single-impurity/Li/gga-pbe,single_defect/IA-element-single-impurity/Li/hse06,Li,64,40,0,7,1,500.0,500.0,,,2,2,366.652,366.652,0.0,253.0,253.0,3.0,3.0,3.537861244782046e-14,same-geometry,clean,,
single_defect/IA-element-single-impurity/Na,single_defect/IA-element-single-impurity/Na/gga-pbe,single_defect/IA-element-single-impurity/Na/hse06,Na,64,40,0,17,1,500.0,500.0,,,2,2,366.652,366.652,0.0,253.0,253.0,2.9999,3.0,4.044637223721882e-14,same-geometry,clean,,
single_defect/IIA-element-single-impurity/Be,single_defect/IIA-element-single-impurity/Be/gga-pbe,single_defect/IIA-element-single-impurity/Be/hse06,Be,64,40,0,9,1,500.0,500.0,,,2,2,366.652,366.652,0.0,254.0,254.0,-0.0,0.0,3.965177368442822e-14,same-geometry,clean,,
single_defect/IIA-element-single-impurity/Mg,single_defect/IIA-element-single-impurity/Mg/gga-pbe,single_defect/IIA-element-single-impurity/Mg/hse06,Mg,64,40,0,19,1,500.0,500.0,,,2,2,366.652,366.652,0.0,254.0,254.0,2.0,2.0,3.963584617833586e-14,same-geometry,clean,,
single_defect/IIIA-element-single-imputiry/B,single_defect/IIIA-element-single-imputiry/B/GGA-PBE,single_defect/IIIA-element-single-imputiry/B/hse06,B,64,40,0,13,1,500.0,500.0,,,2,2,366.652,366.652,0.0,255.0,255.0,-0.0,0.0,3.974458292071076e-14,same-geometry,spin-suspect,odd-nelect-no-mag|odd-nelect-no-mag,
single_defect/IVA-element-single-impurity/Si,single_defect/IVA-element-single-impurity/Si/GGA-PBE,single_defect/IVA-element-single-impurity/Si/HSE06,H,64,40,0,14,1,500.0,500.0,,,2,2,366.652,366.652,0.0,256.0,256.0,-0.0,-0.0,3.996096775877568e-14,same-geometry,clean,,
single_defect/VA-element-single-impurity/As,single_defect/VA-element-single-impurity/As/GGA-PBE,single_defect/VA-element-single-impurity/As/HSE06,As,64,40,0,1,1,500.0,500.0,,,2,2,366.652,366.652,0.0,257.0,257.0,0.0006,0.2509,0.0,same-geometry,clean,,
single_defect/VA-element-single-impurity/N,single_defect/VA-element-single-impurity/N/GGA-PBE,single_defect/VA-element-single-impurity/N/HSE06,N,64,40,0,3,1,500.0,500.0,,,2,2,366.652,366.652,0.0,257.0,257.0,0.0,0.0,3.4974733775166755e-14,same-geometry,spin-suspect,odd-nelect-no-mag|odd-nelect-no-mag,
single_defect/VA-element-single-impurity/P,single_defect/VA-element-single-impurity/P/GGA-PBE,single_defect/VA-element-single-impurity/P/HSE06,P,64,40,0,12,1,500.0,500.0,,,2,2,366.652,366.652,0.0,257.0,257.0,0.25,0.25,3.884930430019662e-14,same-geometry,spin-suspect,mag-quarter|mag-quarter,
single_defect/VA-element-single-impurity/Sb,single_defect/VA-element-single-impurity/Sb/GGA-PBE,single_defect/VA-element-single-impurity/Sb/HSE06,Sb,64,40,0,3,1,500.0,500.0,,,2,2,366.652,366.652,0.0,257.0,257.0,0.25,0.25,3.789281004419288e-14,same-geometry,spin-suspect,mag-quarter|mag-quarter,
single_defect/VIA-element-single-impurity/O,single_defect/VIA-element-single-impurity/O/GGA-PBE,single_defect/VIA-element-single-impurity/O/HSE06,O,64,40,0,13,1,500.0,500.0,,,2,2,366.652,366.652,0.0,258.0,258.0,-0.0,-0.0,3.629265452532354e-14,same-geometry,clean,,
single_defect/VIA-element-single-impurity/S,single_defect/VIA-element-single-impurity/S/GGA-PBE,single_defect/VIA-element-single-impurity/S/HSE06,S,64,40,0,5,1,500.0,500.0,,,2,2,366.652,366.652,0.0,258.0,258.0,0.25,0.25,3.7807835037676814e-14,same-geometry,spin-suspect,mag-quarter|mag-quarter,
single_defect/VIA-element-single-impurity/Se,single_defect/VIA-element-single-impurity/Se/GGA-PBE,single_defect/VIA-element-single-impurity/Se/HSE06,Se,64,40,0,5,1,500.0,500.0,,,2,2,366.652,366.652,0.0,258.0,258.0,0.25,0.25,4.07453003841498e-14,same-geometry,spin-suspect,mag-quarter|mag-quarter,
single_defect/VIA-element-single-impurity/Te,single_defect/VIA-element-single-impurity/Te/GGA-PBE,single_defect/VIA-element-single-impurity/Te/HSE06,Te,64,40,0,22,1,500.0,500.0,,,2,2,366.652,366.652,0.0,258.0,258.0,-0.5,-0.5,3.6682025415505266e-14,same-geometry,clean,,
single_defect/VIIA-element-single-impurity/Br,single_defect/VIIA-element-single-impurity/Br/GGA-PBE,single_defect/VIIA-element-single-impurity/Br/HSE06,Br,64,40,0,40,1,500.0,500.0,,,2,2,366.652,366.652,0.0,259.0,259.0,-1.0,-1.0,3.844082586780566e-14,same-geometry,clean,,
single_defect/VIIA-element-single-impurity/Cl,single_defect/VIIA-element-single-impurity/Cl/GGA-PBE,single_defect/VIIA-element-single-impurity/Cl/HSE06,Cl,64,100,0,7,1,500.0,500.0,,,2,2,366.652,366.652,0.0,259.0,259.0,-0.25,-1.0007,3.533173116132286e-14,same-geometry,spin-suspect,mag-quarter,
single_defect/VIIA-element-single-impurity/F,single_defect/VIIA-element-single-impurity/F/GGA-PBE,single_defect/VIIA-element-single-impurity/F/HSE06,F,64,40,0,40,1,500.0,500.0,,,2,2,366.652,366.652,0.0,259.0,259.0,1.0,1.0,3.765932235923158e-14,same-geometry,clean,,
single_defect/VIIA-element-single-impurity/I,single_defect/VIIA-element-single-impurity/I/GGA-PBE,single_defect/VIIA-element-single-impurity/I/HSE06,I,64,40,0,3,1,500.0,500.0,,,2,2,366.652,366.652,0.0,259.0,259.0,0.5,0.5,3.784747902570478e-14,same-geometry,clean,,
single_defects_new-only/IA-impurity/Cs,single_defects_new-only-GGA-PBE/IA-impurity/Cs/GGA-PBE,single_defects_new-only-HSE06/IA-impurity/Cs/hse06,Cs,64,40,40,15,15,500.0,500.0,,,2,2,366.652,366.652,0.0,261.0,261.0,-0.0,-0.0,0.020363513704699552,different-geometry,spin-suspect,odd-nelect-no-mag|odd-nelect-no-mag,
single_defects_new-only/IA-impurity/Fr,single_defects_new-only-GGA-PBE/IA-impurity/Fr/GGA-PBE,single_defects_new-only-HSE06/IA-impurity/Fr/hse06,Fr,64,40,40,40,40,500.0,500.0,,,2,2,366.652,366.652,0.0,261.0,261.0,0.0,-1.0,0.7593006213826596,different-geometry,spin-suspect,odd-nelect-no-mag,
single_defects_new-only/IA-impurity/K,single_defects_new-only-GGA-PBE/IA-impurity/K/GGA-PBE,single_defects_new-only-HSE06/IA-impurity/K/hse06,K,64,40,40,14,13,500.0,500.0,,,2,2,366.652,366.652,0.0,259.0,259.0,0.0,0.0,0.007830245702927468,same-geometry,spin-suspect,odd-nelect-no-mag|odd-nelect-no-mag,
single_defects_new-only/IA-impurity/Rb,single_defects_new-only-GGA-PBE/IA-impurity/Rb/GGA-PBE,single_defects_new-only-HSE06/IA-impurity/Rb/hse06,Rb,64,40,40,14,22,500.0,500.0,,,2,2,366.652,366.652,0.0,259.0,259.0,-0.0,-1.0,0.04928525432281335,different-geometry,spin-suspect,odd-nelect-no-mag,
