#,Name,Signature `(in) → out`,Bundle,Tier,Diff,Path,Source,Depends on
1,bandgap-direct,`(BandStruct) → Scalar`,B1,T0,D1,cheap,S1,bands
2,bandgap-indirect,"`(BandStruct, k-grid) → Scalar`",B1,T0,D1,cheap,S1,bands
3,effective-mass-tensor,"`(BandStruct, k0) → Tensor[3,3]`",B1,T0,D1,cheap,S1,bands
4,DOS-tetrahedron,"`(BandStruct, k-mesh) → ε↦Scalar`",B1,T1,D2,cheap,S1,bands
5,fermi-level-charge-neutral,"`(DOS, T, dopants) → Scalar`",B1/B4,T1,D2,cheap,S1+S3,"DOS, defect-populations"
6,quasi-particle-shift-G0W0-surrogate,"`(bands, screening) → bands'`",B1,T2,D2,faithful,S1,bands
7,acoustic-sum-rule,`(D(q→0)) → ‖residual‖`,B2,T0,D1,cheap,S1+S2,dyn-matrix
8,dynamical-matrix-hermiticity,`(D(q)) → ‖D - D†‖`,B2,T0,D1,cheap,S2,dyn-matrix
9,phonon-dispersion,`(D(q)) → ω_λ(q)`,B2,T1,D2,cheap,S1,dyn-matrix
10,phonon-DOS,"`(ω_λ(q), q-mesh) → ε↦Scalar`",B2,T1,D2,cheap,S1,phonon-disp
11,phonon-group-velocity,`(ω_λ(q)) → ∂ω/∂q`,B2,T1,D1,cheap,S1,phonon-disp
12,grueneisen-mode,"`(ω_λ(q,V)) → γ_λ`",B2,T2,D3,cheap,S1,phonon-disp
13,SCPH-self-consistent-phonons,"`(D(q), T) → ω_renorm`",B2,T2,D2,faithful,S1,"phonon-disp, T"
14,drude-conductivity,"`(μ, n, e) → σ`",B3,T0,D1,cheap,S1,"μ, n"
15,matthiessen-mobility,"`(μ_imp, μ_ph, μ_grain) → μ`",B3,T0,D1,cheap,S4,μ-channels
16,caughey-thomas-mobility,"`(μ0, E, v_sat, β) → μ(E)`",B3/B9,T0,D1,cheap,S4,"μ0, v_sat, E"
17,v-sat-POP-limit,"`(ω_LO, m*, ε∞, ε0) → v_sat`",B3,T0,D1,cheap,S4,"ω_LO, m*"
18,v-sat-intervalley,"`(Δ_valley, m*_valleys) → v_sat`",B3,T0,D1,cheap,S4,bands
19,hall-mobility-from-σ,"`(σ_xx, σ_xy, B) → μ_H`",B3,T0,D1,cheap,S1,σ
20,mobility-impurity-phonon,"`(N_imp, T, m*) → μ_imp, μ_ph`",B3,T0,D1,cheap,S4,"N_imp, T"
21,frohlich-coupling,"`(ω_LO, ε∞, ε0, m*) → α_F`",B2/B3,T0,D1,cheap,S4,"ω_LO, dielectric"
22,frohlich-scattering-rate,"`(α_F, T, ε_k) → τ⁻¹`",B3,T1,D1,cheap,S4,"α_F, bands"
23,seebeck-mott,"`(σ(ε), E_F, T) → S`",B3,T1,D2,cheap,S1,"σ, E_F"
24,wiedemann-franz-electronic-kappa,"`(σ, T) → κ_e`",B3,T0,D1,cheap,S1,σ
25,callaway-lattice-kappa,"`(ω_λ(q), τ_λ) → κ_L`",B3/B2,T2,D2,cheap,S1,"phonon-disp, τ"
26,phonon-poiseuille-length,"`(τ_N, v_g) → L_Pois`",B3,T0,D1,cheap,S4,"τ_N, v_g"
27,second-sound-speed,"`(v_g_LA, T, τ_R/τ_N) → c_ss`",B3,T0,D1,cheap,S4,"v_g, τ ratios"
28,acoustic-mismatch-TBR,"`(ρ_1,v_1,ρ_2,v_2) → R_K`",B6,T0,D1,cheap,S4,mechanics ×2
29,diffuse-mismatch-TBR,"`(DOS_ph_1, DOS_ph_2) → R_K`",B6,T1,D2,cheap,S4,phonon-DOS ×2
30,defect-formation-energy-zhang-northrup,"`(E_def, E_host, μ_i, q, E_F) → E_form`",B4,T0,D1,cheap,S1+S2+S3,"E_def, μ_i, E_F"
31,makov-payne-correction,"`(q, ε, L_cell) → ΔE_MP`",B4,T0,D0,cheap,S3,"q, ε"
32,freysoldt-correction,"`(q, ε, V_q-V_0, L) → ΔE_FNV`",B4,T0,D0,cheap,S1+S2+S3,"q, ε, potential"
33,lany-zunger-correction,"`(q, ε, L, ξ) → ΔE_LZ`",B4,T0,D0,cheap,S3,"q, ε"
