retired-id,landed-as,retired-on
arch-01-purpose,purpose-and-scope,2026-07-22
arch-02-libraries,library-landscape,2026-07-22
impl-01-principles,architectural-principles,2026-07-22
arch-03-inputs,crystal-inputs,2026-07-22
arch-04-state,unified-state,2026-07-22
arch-05-generic,generic-dynamics,2026-07-22
arch-06-physics-graph,physics-graph,2026-07-22
arch-07-pipeline,compose-time-pipeline,2026-07-22
arch-08-bo-levels,born-oppenheimer-levels,2026-07-22
arch-09-vocabularies,canonical-vocabularies,2026-07-22
arch-10-typeclasses,typeclass-alphabet,2026-07-22
arch-11-residuals,residual-definitions,2026-07-22
arch-12-cert,cert-obligations,2026-07-22
arch-13-applicability,applicability-classifiers,2026-07-22
arch-14-topology,topology-atlas,2026-07-22
arch-15-gamma-hat,gamma-hat,2026-07-22
arch-16-pino-bridge,pino-bridge,2026-07-22
arch-17-out-of-scope,out-of-scope,2026-07-22
arch-18-open-decisions,open-decisions,2026-07-22
arch-19-coupling-structure,coupling-structure,2026-07-22
arch-20-representations,representation-substrate,2026-07-22
arch-21-multiscale-state,multiscale-state,2026-07-22
impl-02-methods,computational-methods,2026-07-22
impl-03-templates,property-templates,2026-07-22
impl-04-formulas,named-formulas,2026-07-22
impl-05-bundles,observable-bundles,2026-07-22
impl-06-compositions,typed-compositions,2026-07-22
impl-07-residual-factory,residual-machinery,2026-07-22
impl-08-cert-detail,cert-obligations-detail,2026-07-22
impl-09-cross-cutting,cross-cutting-rules,2026-07-22
impl-10-build-sequence,build-sequence,2026-07-22
impl-11-verification,build-verification,2026-07-22
mvp-01-system,mvp-system,2026-07-22
mvp-02-gamma-budget,gamma-budget,2026-07-22
mvp-03-capabilities,capability-slices,2026-07-22
mvp-04-in-mvp-vs-deferred,mvp-scope,2026-07-22
mvp-05-decisions-forced,forced-decisions,2026-07-22
mvp-06-build-order,build-order,2026-07-22
