retired-name,landed-as,retired-on
Born-stability-cubic,elastic-stability-criteria,2026-07-21
Born-stability-hexagonal,elastic-stability-criteria,2026-07-21
Born-stability-orthorhombic,elastic-stability-criteria,2026-07-21
Hume-Rothery-mismatch,substitution-compatibility-score,2026-07-21
Pauling-radius-ratio,radius-ratio-coordination-class,2026-07-21
Schottky-Mott-alignment,barrier-from-workfunction-affinity,2026-07-21
Vegard-correction,alloy-lattice-interpolation,2026-07-21
avalanche-multiplication-factor,avalanche-multiplication,2026-07-21
band-rep-matrix,symmetry-orbit-representation-matrix,2026-05-28
black-electromigration-MTTF,electromigration-mttf,2026-07-21
born-effective-charge-tensor,operator-position-derivative-tensor,2026-05-28
born-stability-criteria,elastic-stability-criteria,2026-07-21
bulk-edge-mode-count,boundary-mode-multiplicity-from-classification,2026-05-28
callaway-lattice-kappa,single-mode-rta-lattice-kappa,2026-07-21
caughey-thomas-mobility,field-dependent-mobility,2026-07-21
chern-number-from-bloch,first-band-invariant-from-eigenstate-grid,2026-05-28
chynoweth-impact-ionization,impact-ionization-coefficient,2026-07-21
clausius-clapeyron-boundary,phase-boundary-slope,2026-07-21
coffin-manson-fatigue,plastic-strain-fatigue-life,2026-07-21
compatibility-relation-matrix,irrep-compatibility-matrix,2026-05-28
coupled-em-thermal-pde,coupled-em-thermal-pde-residual,2026-07-21
defect-formation-energy-zhang-northrup,defect-formation-energy,2026-07-21
electronic-susceptibility-chi-infinity,electronic-linear-response-tensor,2026-05-28
field-activated-ionization-rate,impact-ionization-coefficient,2026-07-21
fowler-nordheim-current,field-emission-current,2026-07-21
freysoldt-correction,charged-supercell-extrapolation-planar-aligned,2026-05-28
frohlich-coupling,polar-coupling-constant,2026-07-21
frohlich-scattering-rate,polar-optical-scattering-rate,2026-07-21
generalized-stacking-fault,generalized-stacking-fault-energy,2026-07-21
high-frequency-dielectric-tensor,high-frequency-response-tensor,2026-05-28
huang-rhys-factor,lattice-relaxation-phonon-quanta,2026-07-21
hume-rothery-mismatch,substitution-compatibility-score,2026-07-21
kane-zener-rate,interband-tunneling-rate,2026-07-21
kane-zener-tunneling-rate,interband-tunneling-rate,2026-07-21
kumagai-oba-correction,charged-supercell-extrapolation-atomic-site-averaged,2026-05-28
lany-zunger-correction,charged-supercell-extrapolation-image-charge,2026-05-28
lattice-strain-energy,(never registered — see deriv-csp F.2),2026-07-21
lo-to-non-analytic-correction,long-range-coulomb-directional-limit-correction,2026-05-28
madelung-constant,lattice-coulomb-summation-scalar,2026-05-28
makov-payne-correction,charged-supercell-extrapolation-isotropic-cubic (row 31) or -isotropic-general (row 89) — the old name was ambiguous across both,2026-05-28
mass-action-complex,mass-action-defect-complex,2026-07-21
matthews-blakeslee-critical-thickness,critical-thickness-force-balance,2026-07-21
maxwell-relation-residual,thermodynamic-cross-derivative-residual,2026-07-21
padovani-stratton-TFE,thermionic-field-emission-current,2026-07-21
pauling-radius-ratio,radius-ratio-coordination-class,2026-07-21
phonon-kappa-T,single-mode-rta-lattice-kappa + kappa-4phonon-high-t-correction,2026-07-21
piezoresistance-coefficient,piezoresistance-coeff,2026-07-21
radiative-recombination-vrs,radiative-recombination-rate,2026-07-21
redlich-kister-excess-gibbs,composition-dependent-excess-free-energy-basis,2026-05-28
reference-phase-cache,reference-phase-energy-cache,2026-07-21
richardson-dushman-thermionic,thermionic-emission-current,2026-07-21
schottky-mott-alignment,barrier-from-workfunction-affinity,2026-07-21
seebeck-mott,seebeck-from-conductivity-derivative,2026-07-21
symmetry-indicator-group,symmetry-classification-group-via-snf,2026-05-28
tau-energy-acoustic,tau-energy-POP-acoustic,2026-07-21
tau-energy-pop,tau-energy-POP-acoustic,2026-07-21
vegard-correction,alloy-lattice-interpolation,2026-07-21
vibronic-coupling-factor,lattice-relaxation-phonon-quanta,2026-07-21
wegscheider-cycle,detailed-balance-cycle-residual,2026-07-21
wiedemann-franz-electronic-kappa,electronic-kappa-from-conductivity,2026-07-21
wilson-loop-spectrum,holonomy-spectrum-on-loop,2026-05-28
z2-invariant-from-bloch,binary-invariant-with-symmetry-from-eigenstate-grid,2026-05-28
