# Diamond defect corpus — one row per VASP run. 199 rows.
# spin_sum_rule: ok | FAIL-fractional (non-integer magnetisation) | FAIL-parity (odd electron count, even magnetisation)
# Generated 2026-07-21 from the recovered archives; see 04-data-health-gaps-and-caveats.md
run_directory	archive	level	aexx	hfscreen	encut	sigma	nsw	ionic_steps	reached_accuracy	clean_exit	defect_order	n_substituted	species	nelect	magnetization	spin_sum_rule	gap_eV	frac_occ_states	E_final_eV	elapsed_s	cores
Pure/Converged_for_doping_analyze/GGA-PBE	Pure	GGA-PBE	0.0000		460	0.1	40	1	yes	yes	pure	0	C	255.9999605	-2.2e-06	ok	4.111	0	-581.97197666	32.86	112
Pure/Converged_for_doping_analyze/HSE06	Pure	HSE06	0.2500	0.2	460	0.1	0	1	no	yes	pure	0	C	255.9999611		ok	5.2789	0	-674.68094989	3306.467	112
Pure/converged_without_stress	Pure	GGA-PBE	0.0000		460	0.1	80	1	yes	yes	pure	0	C	255.9999626		ok	4.119	0	-581.97264979	35.302	96
pair_defects/B-Li/C8-C1-were_replaced/GGA-PBE	pair_defects	GGA-PBE	0.0000		500	0.0001	100	74	yes	yes	pair	2	B Li C	251.9999771	0.25	FAIL-fractional	0.1355	0	-563.95818143	646.479	112
pair_defects/B-Li/C8-C1-were_replaced/HSE06	pair_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	pair	2	B Li C	251.9999774	0.0015116	ok	0.4538	0	-653.84836823	5372.95	112
pair_defects/B-Li/C8-C53-were_replaced/GGA-PBE	pair_defects	GGA-PBE	0.0000		500	0.0001	40	3	yes	yes	pair	2	B Li C	251.9999688	1.9999995	ok	0.253	0	-564.82476062	28.855	112
pair_defects/B-Li/C8-C53-were_replaced/HSE06	pair_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	pair	2	B Li C	251.9999693	1.9999996	ok	1.4452	0	-655.13839691	3293.133	112
pair_defects/B-P/C8-C1-were_replaced/GGA-PBE	pair_defects	GGA-PBE	0.0000		500	0.1	40	14	yes	yes	pair	2	B P C	255.999974		ok	3.3583	0	-572.05188592	154.673	112
pair_defects/B-P/C8-C1-were_replaced/HSE06	pair_defects	HSE06	0.2500	0.2	500	0.1	0	1	no	yes	pair	2	B P C	255.9999744		ok	4.5163	0	-664.14118056	3492.489	112
pair_defects/B-P/C8-C53-were_replaced/GGA-PBE	pair_defects	GGA-PBE	0.0000		500	0.1	40	18	yes	yes	pair	2	B P C	255.9999732		ok	3.6445	0	-572.20878642	179.47	112
pair_defects/B-P/C8-C53-were_replaced/HSE06	pair_defects	HSE06	0.2500	0.2	500	0.1	0	1	no	yes	pair	2	B P C	255.9999736		ok	4.7898	0	-664.26179391	3391.305	112
pair_defects/B-S/C8-C1-were_replaced/GGA-PBE	pair_defects	GGA-PBE	0.0000		500	0.0001	40	17	yes	yes	pair	2	B S C	256.999974	0.25	FAIL-fractional	0.0874	0	-566.20534595	128.714	112
pair_defects/B-S/C8-C1-were_replaced/HSE06	pair_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	pair	2	B S C	256.9999744	0.25	FAIL-fractional	0.2573	0	-657.72970784	3499.537	112
pair_defects/B-S/C8-C53-were_replaced/GGA-PBE	pair_defects	GGA-PBE	0.0000		500	0.0001	40	15	yes	yes	pair	2	B S C	256.9999725		FAIL-parity	0.0563	0	-567.24283896	108.575	112
pair_defects/B-S/C8-C53-were_replaced/HSE06	pair_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	pair	2	B S C	256.999973		FAIL-parity	0.1166	0	-658.77723306	3415.531	112
pair_defects/B-Se/C8-C1-were_replaced/GGA-PBE	pair_defects	GGA-PBE	0.0000		500	0.0001	40	13	yes	yes	pair	2	B Se C	256.9999848	-0.25	FAIL-fractional	0.0829	0	-562.01157917	94.353	112
pair_defects/B-Se/C8-C1-were_replaced/HSE06	pair_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	pair	2	B Se C	256.9999851	-0.25	FAIL-fractional	0.1589	0	-653.50441082	3848.275	112
pair_defects/B-Se/C8-C53-were_replaced/GGA-PBE	pair_defects	GGA-PBE	0.0000		500	0.0001	40	32	yes	yes	pair	2	B Se C	256.9999808		FAIL-parity	0.1411	0	-563.00023827	314.497	112
pair_defects/B-Se/C8-C53-were_replaced/HSE06	pair_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	pair	2	B Se C	256.9999811		FAIL-parity	0.218	0	-654.49773072	3939.372	112
pair_defects/N-H/C8-C1-were_replaced/GGA-PBE	pair_defects	GGA-PBE	0.0000		500	0.0001	100	15	yes	yes	pair	2	N H C	253.9999684	1.9999997	ok	0.7401	0	-567.76085646	93.073	112
pair_defects/N-H/C8-C1-were_replaced/HSE06	pair_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	pair	2	N H C	253.9999689	1.9999998	ok	2.1137	0	-659.65035786	3276.734	112
pair_defects/N-H/C8-C53-were_replaced/GGA-PBE	pair_defects	GGA-PBE	0.0000		500	0.1	40	27	yes	yes	pair	2	N H C	253.9999683	1.9999995	ok	0.6695	0	-569.78066431	221.222	112
pair_defects/N-H/C8-C53-were_replaced/HSE06	pair_defects	HSE06	0.2500	0.2	500	0.1	0	1	no	yes	pair	2	N H C	253.9999688	2.0000003	ok	2.0245	0	-661.80237285	3283.433	112
pair_defects/N-Li/C8-C1-were_replaced/GGA-PBE	pair_defects	GGA-PBE	0.0000		500	0.0001	40	23	yes	yes	pair	2	N Li C	253.9999698	2.0000001	ok	0.0553	0	-563.7226381	237.204	112
pair_defects/N-Li/C8-C1-were_replaced/HSE06	pair_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	pair	2	N Li C	253.9999703	2.0000001	ok	0.1181	0	-654.78553848	4524.792	112
pair_defects/N-Li/C8-C53-were_replaced/GGA-PBE	pair_defects	GGA-PBE	0.0000		500	0.1	40	21	yes	yes	pair	2	N Li C	253.9999717	1.9982531	ok	0.4017	0	-566.95770249	189.258	112
pair_defects/N-Li/C8-C53-were_replaced/HSE06	pair_defects	HSE06	0.2500	0.2	500	0.1	0	1	no	yes	pair	2	N Li C	253.9999721	1.9999894	ok	1.5066	0	-658.51155948	3362.905	112
pair_defects/N-S/C8-C1-were_replaced/GGA-PBE	pair_defects	GGA-PBE	0.0000		500	0.0001	40	9	yes	yes	pair	2	N S C	258.9999736	0.25	FAIL-fractional	0.0552	0	-561.3162346	81.716	112
pair_defects/N-S/C8-C1-were_replaced/HSE06	pair_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	pair	2	N S C	258.9999741	0.25	FAIL-fractional	0.0759	0	-652.91703678	3442.907	112
pair_defects/N-S/C8-C53-were_replaced/GGA-PBE	pair_defects	GGA-PBE	0.0000		500	0.0001	40	4	yes	yes	pair	2	N S C	258.9999788	0.0001599	FAIL-parity	0.0445	0	-564.35258221	90.852	112
pair_defects/N-S/C8-C53-were_replaced/HSE06	pair_defects	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	pair	2	N S C	258.9999791		FAIL-parity	0.1871	0	-656.93127141	3423.233	112
pair_defects/N-Si/C8-C1-were_replaced/GGA-PBE	pair_defects	GGA-PBE	0.0000		500	0.1	40	14	yes	yes	pair	2	N Si C	256.9999771		FAIL-parity	0.3339	0	-568.90952819	157.458	112
pair_defects/N-Si/C8-C1-were_replaced/HSE06	pair_defects	HSE06	0.2500	0.2	500	0.1	0	1	no	yes	pair	2	N Si C	256.9999774		FAIL-parity	0.503	0	-661.27517282	3398.166	112
pair_defects/N-Si/C8-C53-were_replaced/GGA-PBE	pair_defects	GGA-PBE	0.0000		500	0.1	40	18	yes	yes	pair	2	N Si C	256.9999737		FAIL-parity	0.3421	0	-570.06056342	181.722	112
pair_defects/N-Si/C8-C53-were_replaced/HSE06	pair_defects	HSE06	0.2500	0.2	500	0.1	0	1	no	yes	pair	2	N Si C	256.9999741		FAIL-parity	0.4891	0	-662.52011337	3408.402	112
single_defect/IA-element-single-impurity/H/gga-pbe	single_defect	GGA-PBE	0.0000		500	0.1	40	13	yes	yes	single	1	H C	252.9999638	2.9999231	ok	0.5253	0	-569.79455356	135.781	112
single_defect/IA-element-single-impurity/H/hse06	single_defect	HSE06	0.2500	0.2	500	0.1	0	1	no	yes	single	1	H C	252.9999643	2.9999991	ok	1.9244	0	-661.27495738	3267.105	112
single_defect/IA-element-single-impurity/Li/gga-pbe	single_defect	GGA-PBE	0.0000		500	0.01	40	7	yes	yes	single	1	Li C	252.9999698	3.0000007	ok	0.132	0	-566.47111244	55.572	112
single_defect/IA-element-single-impurity/Li/hse06	single_defect	HSE06	0.2500	0.2	500	0.01	0	1	no	yes	single	1	Li C	252.9999703	3.0000008	ok	1.0584	0	-657.38044434	3383.716	112
single_defect/IA-element-single-impurity/Na/gga-pbe	single_defect	GGA-PBE	0.0000		500	0.1	40	17	yes	yes	single	1	Na C	252.9999758	2.9999418	ok	0.5378	0	-561.09549842	593.291	112
single_defect/IA-element-single-impurity/Na/hse06	single_defect	HSE06	0.2500	0.2	500	0.1	0	1	no	yes	single	1	Na C	252.9999762	2.9999999	ok	1.3959	0	-652.07263832	3293.6	112
single_defect/IIA-element-single-impurity/Be/gga-pbe	single_defect	GGA-PBE	0.0000		500	0.001	40	9	yes	yes	single	1	Be C	253.999964		ok	0.0359	0	-571.64876395	89.12	112
single_defect/IIA-element-single-impurity/Be/hse06	single_defect	HSE06	0.2500	0.2	500	0.001	0	1	no	yes	single	1	Be C	253.9999646		ok	0.0312	0	-661.93926021	3317.885	112
single_defect/IIA-element-single-impurity/Mg/gga-pbe	single_defect	GGA-PBE	0.0000		500	0.001	40	19	yes	yes	single	1	Mg C	253.9999725	1.9999994	ok	0.0175	0	-563.3333179	436.948	112
single_defect/IIA-element-single-impurity/Mg/hse06	single_defect	HSE06	0.2500	0.2	500	0.001	0	1	no	yes	single	1	Mg C	253.999973	1.9999993	ok	0.1362	0	-654.08038188	3674.84	112
single_defect/IIIA-element-single-imputiry/B/GGA-PBE	single_defect	GGA-PBE	0.0000		500	0.0001	40	13	yes	yes	single	1	B C	254.9999645		FAIL-parity	0.0394	0	-578.46908792	379.599	112
single_defect/IIIA-element-single-imputiry/B/hse06	single_defect	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	single	1	B C	254.9999651		FAIL-parity	0.1372	0	-669.97442883	3269.54	112
single_defect/IVA-element-single-impurity/Si/GGA-PBE	single_defect	GGA-PBE	0.0000		500	0.1	40	14	yes	yes	single	1	H C	255.9999726		ok	3.8464	0	-573.93088179	164.616	112
single_defect/IVA-element-single-impurity/Si/HSE06	single_defect	HSE06	0.2500	0.2	500	0.1	0	1	no	yes	single	1	H C	255.9999731		ok	5.0096	0	-666.37809101	3400.91	112
single_defect/VA-element-single-impurity/As/GGA-PBE	single_defect	GGA-PBE	0.0000		500	0.0001	40	1	yes	yes	single	1	As C	256.9999826	1.8e-05	FAIL-parity	0.2128	6	-567.40876906	16.564	112
single_defect/VA-element-single-impurity/As/HSE06	single_defect	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	single	1	As C	256.9999828	0.2485022	FAIL-fractional	0.099	0	-659.66311698	3956.623	112
single_defect/VA-element-single-impurity/N/GGA-PBE	single_defect	GGA-PBE	0.0000		500	0.01	40	3	yes	yes	single	1	N C	256.9999641		FAIL-parity	0.2742	0	-576.81391395	27.341	112
single_defect/VA-element-single-impurity/N/HSE06	single_defect	HSE06	0.2500	0.2	500	0.01	0	1	no	yes	single	1	N C	256.9999647		FAIL-parity	0.4368	0	-669.41718756	3450.16	112
single_defect/VA-element-single-impurity/P/GGA-PBE	single_defect	GGA-PBE	0.0000		500	0.001	40	12	yes	yes	single	1	P C	256.9999698	0.25	FAIL-fractional	0.0466	0	-571.91044349	106.754	112
single_defect/VA-element-single-impurity/P/HSE06	single_defect	HSE06	0.2500	0.2	500	0.001	0	1	no	yes	single	1	P C	256.9999703	0.25	FAIL-fractional	0.1678	0	-664.14279408	3386.088	112
single_defect/VA-element-single-impurity/Sb/GGA-PBE	single_defect	GGA-PBE	0.0000		500	0.0001	40	3	yes	yes	single	1	Sb C	256.9999826	0.2500001	FAIL-fractional	0.0049	0	-560.54165425	35.172	112
single_defect/VA-element-single-impurity/Sb/HSE06	single_defect	HSE06	0.2500	0.2	500	0.0001	0	1	no	yes	single	1	Sb C	256.9999829	0.25	FAIL-fractional	0.1011	0	-652.89900881	3650.196	112
