family,group,mae_mev,share_of_states
branch-trunk,all,41.07952360988072,1.0
branch-trunk,deep valence,18.952812463229257,0.22246596960911316
branch-trunk,valence edge,23.180194345356607,0.27753403039088687
branch-trunk,conduction edge,34.167366072737366,0.036669416856866734
branch-trunk,high conduction,62.93850048086188,0.46333058314313325
spectral,all,41.07464466869519,1.0
spectral,deep valence,14.02004771917308,0.22246596960911316
spectral,valence edge,29.408711269216504,0.27753403039088687
spectral,conduction edge,56.34639359374382,0.036669416856866734
spectral,high conduction,59.84900732312177,0.46333058314313325
